Open Mic,Time,Location,Host(s) / Organizer,Cost,Sign-Up Instructions,DM to confirm changes
"Snowflake Comedy Hour
2nd Tuesday of every month",7:00 PM,"Good Judy (South Slope, Brooklyn)",James Tison,One drink min,"It's a show with some mic slots mixed in. Anyone can sign up. The sign up gets emailed 2 weeks before. Click here to add to mailing list: eepurl.com/hMxs09. Walking on is a bucket system, no guarantees you'll get on.",
420 Comedy Comedy Open Mic,7:00 PM,"41-04 31st Street, Astoria",Jen Perney,Free,"Sign up at 6:30, open mic starts at 7 pm",
Pure Chaos,7:00 PM,Alphaville BK,Breck Gordon,$3 + 1 item = 5 minutes,dm @purechaoscomedy on ig up to 2 days before to sign up,
Cool Riffings,7:00 PM,"YKA Restaurant, 467 Rogers Ave, BK",Kari Burt,Free,"Show up, go up",
Flow State Mic,7:00 PM,Sesh Comedy,Bryan Vogt-Nilssn,$5,https://slotted.co/flowstatemic,
Club of Comedy,7:00 PM,Caravan of Dreams - 405 East 6th St.,Cooper Rego,$3 + a drink / 1 item ,Show up sign up,
StandUpTown Mic,7:45 PM,Stella & Fly (Upper East Side),Aidan Kelly & Jeff Dylan,DM for Info,DM on Insta: @standup_town,
Whiskey Cellar Mic,8:00 PM,Whiskey Cellar NYC,Barak Ziv,$9 drink minimum,barakzivcomedy posts sign up on ig in his story the day before,Confirmed 3/8/23
Flow State Mic,8:00 PM,Sesh Comedy,Bryan Vogt-Nilssn,$5,https://slotted.co/flowstatemic,
Too Many Hosts,8:00 PM,Bushwick Public House,Jenna Sherriton,Free,"5 min, show up & go up, DM @toomanyhosts on insta for details/q's",
The Drunken Subway Mic,8:15 PM,"Sourmouse, 110 Delancy Street",Carla Sadornil,Free,"Just show up. First come first serve, dm @thedrunksubway with questions",
Laugh Pack Open Mic,8:30 PM,358 W. 44th St,TBD,-,Sign up @ linktr.ee/laughpackproductions,
"Black Cellar Open Mic
Monthly - 10/19 & 11/16",8:30 PM,"367 Bedford Ave, Brooklyn",Stacy Cordell,$5=5min / $10=10min,Email stacy@arcaniproductions.com / no in person sign ups,
StandUpTown Mic,9:00 PM,Stella & Fly (Upper East Side),Aidan Kelly & Jeff Dylan,DM for Info,DM on Insta: @standup_town,
Open Mic Workshop,9:00 PM,"Open Stage Works, Hauppauge NY",Brandon LaCaarrubba,$5,DM Brandon LaCarruba day of,
Joe Gorman's Comedy Jamboree,9:30 PM,Eastville Comedy Club,Joe Gorman,"Free 
(Please support the Bar!)",Arrive at 9:30 and add your name to the bucket. Every comedian gets 4-5 minutes,
The Mic,10:00 PM,"McLoughlin's, 3106 Broadway, Astoria",Chris Connolly,"Free 
(bar purchase encouraged)","Drop in, sign up. Email cconnolly@outlook.com with any questions",
No Material Mic,11:00 PM,Revision Lounge,Sarah Suzuki-Harvard,Free + 1 drink min,Walk-In List / Cap at 20,
,,,,,,
"For Tiny Cupboard Mics, please go to: ",https://docs.google.com/spreadsheets/d/1D9OjMjnbNp2VRwI_3EuHrAndMACGDIiNsOQTnIUhhtE/edit?usp=sharing,,,,,
,,,,,,
,,"Note: For FREE MICS, if available, please purchase an item from the venu to support! ",,,,
